retriever,alpha,qid,ee_d,ee_r,eu,ee_d_interval
bm25,1,31376,0.122222,0.216667,0.269680429173709,0.0-0.2
bm25,1,31377,0.122222,0.0,0.04062499946614588,0.0-0.2
bm25,1,31378,0.111111,0.283333,0.10976355494354716,0.0-0.2
bm25,1,31379,0.133333,0.083333,0.012088476400605952,0.0-0.2
bm25,1,31380,0.105556,0.183333,0.30436064719235395,0.0-0.2
bm25,1,31381,0.097222,0.05,0.10532575491395543,0.0-0.2
bm25,1,31382,0.108333,0.1,0.16282153531032156,0.0-0.2
bm25,1,31383,0.113889,0.083333,0.08254219050394879,0.0-0.2
bm25,1,31384,0.102778,0.066667,0.08333333333333333,0.0-0.2
bm25,1,31385,0.094444,0.041604,0.2599206293419563,0.0-0.2
bm25,1,31386,0.119444,0.166667,0.12670565153833666,0.0-0.2
bm25,1,31388,0.108333,0.116667,0.17362214724995267,0.0-0.2
bm25,1,31389,0.127778,0.05,0.0,0.0-0.2
bm25,1,31390,0.105556,0.2,0.18368879904621113,0.0-0.2
bm25,1,31391,0.108333,0.05,0.07291666613932293,0.0-0.2
bm25,1,31392,0.102778,0.1,0.07289913969443797,0.0-0.2
bm25,1,31393,0.111111,0.116667,0.07744208850977835,0.0-0.2
bm25,1,31394,0.119444,0.116667,0.05671819904174132,0.0-0.2
bm25,1,31395,0.105556,0.283333,0.3124499447379667,0.0-0.2
bm25,1,31397,0.111111,0.15,0.21912188983846959,0.0-0.2
bm25,1,31398,0.108333,0.083333,0.2434625165895966,0.0-0.2
bm25,1,31399,0.1,0.166667,0.07678687558288513,0.0-0.2
bm25,1,31400,0.094444,0.033333,0.10863247976128339,0.0-0.2
bm25,1,31401,0.102778,0.15,0.1332441562101545,0.0-0.2
bm25,1,31402,0.105556,0.133333,0.163647740276667,0.0-0.2
bm25,1,31403,0.105556,0.283333,0.15540400466225843,0.0-0.2
bm25,1,31404,0.108333,0.266667,0.22622184711954857,0.0-0.2
bm25,1,31405,0.094444,0.366667,0.19494664068366593,0.0-0.2
bm25,1,31406,0.102778,0.283333,0.326747106818515,0.0-0.2
bm25,1,31407,0.102778,0.366667,0.03396464498941585,0.0-0.2
bm25,1,31408,0.086111,0.25,0.355027388179957,0.0-0.2
bm25,1,31409,0.102778,0.066667,0.041302246688875534,0.0-0.2
bm25,1,31410,0.111111,0.1,0.13723606238565866,0.0-0.2
bm25,1,31411,0.1,0.216667,0.401136022235635,0.0-0.2
bm25,1,31412,0.111111,0.2,0.1911428110800951,0.0-0.2
bm25,1,31413,0.102778,0.166667,0.22517232349526667,0.0-0.2
bm25,1,31414,0.097222,0.316667,0.37197962497281084,0.0-0.2
bm25,1,31415,0.108333,0.133333,0.14166527435252102,0.0-0.2
bm25,1,31416,0.108333,0.0,0.2682221132659247,0.0-0.2
bm25,1,31417,0.105556,0.366667,0.29662148246095044,0.0-0.2
bm25,1,31418,0.116667,0.116667,0.07391881386183984,0.0-0.2
bm25,1,31419,0.102778,0.45,0.33392346224051334,0.0-0.2
bm25,1,31420,0.1,0.116667,0.1421971403588967,0.0-0.2
bm25,1,31421,0.091667,0.333333,0.19811442597249745,0.0-0.2
bm25,1,31422,0.1,0.266667,0.19305866923581547,0.0-0.2
bm25,1,31423,0.1,0.166667,0.23036457855295936,0.0-0.2
bm25,1,31424,0.1,0.15,0.15682660511158922,0.0-0.2
bm25,1,31425,0.1,0.366667,0.3300601257996713,0.0-0.2
bm25,1,31426,0.088889,0.033333,0.06233555754702221,0.0-0.2
bm25,1,31427,0.105556,0.033333,0.09515436670060774,0.0-0.2
bm25,1,31428,0.1,0.55,0.45164711272441455,0.0-0.2
bm25,1,31429,0.088889,0.25,0.1542901183366599,0.0-0.2
bm25,1,31430,0.094444,0.033333,0.024261602627784075,0.0-0.2
bm25,1,31431,0.097222,0.183333,0.3487936092729017,0.0-0.2
bm25,1,31432,0.097222,0.083333,0.23998562732184403,0.0-0.2
bm25,1,31433,0.1,0.55,0.25640436808304773,0.0-0.2
bm25,1,31434,0.091667,0.05,0.02250250913735957,0.0-0.2
bm25,1,31435,0.1,0.183333,0.36880868112226,0.0-0.2
bm25,1,31436,0.094444,0.433333,0.3558712260222484,0.0-0.2
bm25,1,31437,0.113889,0.041001,0.08869229888055016,0.0-0.2
